Serial initialized!
Starting new process at wheel ref = 0
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 0
B_U1: 1.40000000
B_U2: -0.40000000
B_E0: 0.26000000
B_E1: -0.21580000
B_E2: 0.04134000
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 5000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
23,0.00,0.00,0,-3.08,0.00
50024,0.00,0.00,0,-3.08,0.01
100027,0.00,0.00,0,-3.08,0.01
150028,0.00,0.00,0,-3.09,0.02
200028,0.00,0.00,0,-3.09,0.03
250028,0.00,0.00,0,-3.09,0.05
300031,0.00,0.00,0,-3.09,0.07
350032,0.00,0.00,0,-3.09,0.09
400035,0.00,0.00,0,-3.10,0.09
450036,0.00,0.00,0,-3.10,0.07
500039,0.00,0.00,0,-3.11,0.04
550040,0.00,0.00,0,-3.11,0.01
600040,0.00,0.00,0,-3.11,-0.02
650043,0.00,0.00,0,-3.10,-0.04
700044,0.00,0.00,0,-3.10,-0.05
750044,0.00,0.00,0,-3.10,-0.05
800044,0.00,0.00,0,-3.10,-0.05
850047,0.00,0.00,0,-3.09,-0.04
900048,0.00,0.00,0,-3.09,-0.04
950048,0.00,0.00,0,-3.09,-0.05
1000048,0.00,0.00,0,-3.09,-0.05
1050048,0.00,0.00,0,-3.09,-0.04
1100048,0.00,0.00,0,-3.08,-0.03
1150048,0.00,0.00,0,-3.08,-0.01
1200048,0.00,0.00,0,-3.08,0.02
1250048,0.00,0.00,0,-3.08,0.04
1300048,0.00,0.00,0,-3.09,0.06
1350048,0.00,0.00,0,-3.09,0.07
1400048,0.00,0.00,0,-3.09,0.07
1450048,0.00,0.00,0,-3.10,0.05
1500048,0.00,0.00,0,-3.10,0.04
1550048,0.00,0.00,0,-3.10,0.03
1600048,0.00,0.00,0,-3.10,0.02
1650048,0.00,0.00,0,-3.10,0.01
1700048,0.00,0.00,0,-3.10,0.01
1750051,0.00,0.00,0,-3.10,0.00
1800052,0.00,0.00,0,-3.10,-0.01
1850052,0.00,0.00,0,-3.10,-0.03
1900052,0.00,0.00,0,-3.10,-0.05
1950052,0.00,0.00,0,-3.10,-0.06
