Serial initialized!
Starting new process at pwm = 0
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference PWM: 0
Sample Rate [ms]: 50
Step Time [ms]: 1000
Run Time [ms]: 5000
Data format: time_stamp_us,wheel_speed_rad_sec,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
23,0.00,0,-2.99,0.00
50025,0.00,0,-2.99,0.00
100028,0.00,0,-2.99,0.00
150030,0.00,0,-2.99,0.00
200034,0.00,0,-2.99,0.00
250034,0.00,0,-2.99,0.00
300036,0.00,0,-2.99,0.00
350037,0.00,0,-2.99,0.00
400040,0.00,0,-2.99,0.01
450040,0.00,0,-2.99,0.00
500044,0.00,0,-2.99,0.00
550046,0.00,0,-2.99,0.00
600050,0.00,0,-2.99,-0.00
650050,0.00,0,-2.99,-0.00
700051,0.00,0,-2.99,-0.00
750053,0.00,0,-2.99,-0.00
800053,0.00,0,-2.99,0.00
850056,0.00,0,-2.99,0.00
900056,0.00,0,-2.99,-0.00
950059,0.00,0,-2.99,-0.01
1000060,0.00,0,-2.99,-0.01
1050063,0.00,0,-2.99,-0.01
1100064,0.00,0,-2.99,0.01
1150065,0.00,0,-2.99,0.02
1200065,0.00,0,-2.99,0.02
1250065,0.00,0,-2.99,0.02
1300068,0.00,0,-3.00,0.01
1350069,0.00,0,-3.00,-0.01
1400072,0.00,0,-2.99,-0.01
1450074,0.00,0,-2.99,-0.02
1500075,0.00,0,-2.99,-0.00
1550078,0.00,0,-2.99,0.01
1600079,0.00,0,-2.99,0.03
1650082,0.00,0,-3.00,0.03
1700083,0.00,0,-3.00,0.02
1750086,0.00,0,-3.00,-0.00
1800086,0.00,0,-3.00,-0.02
1850088,0.00,0,-3.00,-0.03
1900090,0.00,0,-2.99,-0.03
1950090,0.00,0,-2.99,-0.01
2000090,0.00,0,-2.99,0.01
2050090,0.00,0,-3.00,0.03
2100091,0.00,0,-3.00,0.03
2150094,0.00,0,-3.00,0.02
2200095,0.00,0,-3.00,0.00
2250096,0.00,0,-3.00,-0.02
2300098,0.00,0,-3.00,-0.03
2350098,0.00,0,-3.00,-0.02
2400101,0.00,0,-3.00,0.00
2450104,0.00,0,-3.00,0.02
2500105,0.00,0,-3.00,0.03
2550108,0.00,0,-3.00,0.03
2600111,0.00,0,-3.00,0.02
2650114,0.00,0,-3.00,-0.00
2700115,0.00,0,-3.00,-0.02
2750115,0.00,0,-3.00,-0.02
2800116,0.00,0,-3.00,-0.01
2850118,0.00,0,-3.00,0.00
2900118,0.00,0,-3.00,0.02
2950118,0.00,0,-3.00,0.02
3000120,0.00,0,-3.00,0.02
3050120,0.00,0,-3.00,0.01
3100122,0.00,0,-3.00,-0.01
3150125,0.00,0,-3.00,-0.02
3200128,0.00,0,-3.00,-0.02
3250131,0.00,0,-3.00,-0.01
3300133,0.00,0,-3.00,0.01
3350133,0.00,0,-3.00,0.02
3400134,0.00,0,-3.00,0.03
