Serial initialized!
Starting new process at input voltage = 0
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Step Voltage: 0
Sample Rate [ms]: 50
Run Time [ms]: 5000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
23,0.00,0.00,0,0.08,0.00
50025,0.00,0.00,0,0.08,-0.00
100025,0.00,0.00,0,0.08,0.00
150025,0.00,0.00,0,0.08,0.00
200025,0.00,0.00,0,0.08,0.00
250025,0.00,0.00,0,0.08,0.00
300025,0.00,0.00,0,0.08,0.00
350025,0.00,0.00,0,0.08,0.00
400025,0.00,0.00,0,0.08,0.00
450025,0.00,0.00,0,0.08,0.00
500025,0.00,0.00,0,0.08,0.00
550026,0.00,0.00,0,0.08,-0.00
600029,0.00,0.00,0,0.08,0.00
650029,0.00,0.00,0,0.08,-0.00
700029,0.00,0.00,0,0.08,0.00
750030,0.00,0.00,0,0.08,0.00
800033,0.00,0.00,0,0.08,0.00
850033,0.00,0.00,0,0.08,0.00
900033,0.00,0.00,0,0.08,0.00
950033,-0.09,0.00,0,0.08,-0.00
1000033,0.00,0.00,0,0.08,-0.00
1050033,0.00,0.00,0,0.08,-0.00
1100033,0.00,0.00,0,0.08,-0.00
1150033,0.00,0.00,0,0.08,-0.00
1200033,0.00,0.00,0,0.08,0.00
1250033,0.00,0.00,0,0.08,0.00
1300033,0.00,0.00,0,0.08,-0.00
1350034,0.00,0.00,0,0.08,0.00
1400037,0.00,0.00,0,0.08,0.00
1450037,0.00,0.00,0,0.08,0.00
1500037,0.00,0.00,0,0.08,0.00
1550037,0.00,0.00,0,0.08,-0.00
1600037,0.00,0.00,0,0.08,0.00
1650037,0.00,0.00,0,0.08,0.00
1700037,0.00,0.00,0,0.08,0.00
1750037,0.00,0.00,0,0.08,0.00
1800037,0.00,0.00,0,0.08,0.00
1850037,0.00,0.00,0,0.08,0.00
1900037,0.00,0.00,0,0.08,0.00
1950037,0.00,0.00,0,0.08,0.00
2000037,0.00,0.00,0,0.08,0.00
