Serial initialized!
Starting new process at wheel ref = 0
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 0
B_U1: 0
B_E0: 0.09000000
B_E1: 0
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
23,0.00,0.00,0,0.09,0.00
50023,0.00,0.00,0,0.09,0.00
100023,0.00,0.00,0,0.09,0.00
150023,0.00,0.00,0,0.09,-0.00
200023,0.00,0.00,0,0.09,0.00
250023,0.00,0.00,0,0.09,0.00
300023,0.00,0.00,0,0.09,0.00
350023,0.00,0.00,0,0.09,0.00
400023,0.00,0.00,0,0.09,0.00
450023,0.00,0.00,0,0.09,-0.00
500023,0.00,0.00,0,0.09,0.00
550023,0.00,0.00,0,0.09,-0.00
600023,0.00,0.00,0,0.09,0.00
650023,0.00,0.00,0,0.09,-0.00
700023,0.00,0.00,0,0.09,-0.00
750023,0.00,0.00,0,0.09,0.00
800023,0.00,0.00,0,0.09,0.00
850023,0.00,0.00,0,0.09,0.00
900023,0.00,0.00,0,0.09,-0.00
950023,0.00,0.00,0,0.09,-0.00
1000023,0.00,0.00,0,0.09,-0.00
1050023,0.00,0.00,0,0.09,-0.00
1100023,0.00,0.00,0,0.09,-0.00
1150023,0.00,0.00,0,0.09,0.00
1200023,0.00,0.00,0,0.09,0.00
1250023,0.00,0.00,0,0.09,-0.00
1300023,0.00,0.00,0,0.09,-0.00
1350023,0.00,0.00,0,0.09,-0.00
1400023,0.00,0.00,0,0.09,0.00
1450023,0.00,0.00,0,0.09,0.00
1500023,0.00,0.00,0,0.09,0.00
1550023,0.00,0.00,0,0.09,0.00
1600023,0.00,0.00,0,0.09,0.00
1650023,0.00,0.00,0,0.09,0.00
1700023,0.00,0.00,0,0.09,-0.00
1750023,0.00,0.00,0,0.09,0.00
1800023,0.00,0.00,0,0.09,0.00
1850023,0.00,0.00,0,0.09,-0.00
1900023,0.00,0.00,0,0.09,-0.00
1950023,0.00,0.00,0,0.09,0.00
2000023,0.00,0.00,0,0.09,-0.00
2050023,0.00,0.00,0,0.09,0.00
2100023,0.00,0.00,0,0.09,0.00
2150023,0.00,0.00,0,0.09,0.00
2200023,0.00,0.00,0,0.09,0.00
2250023,0.09,-0.01,0,0.09,0.00
2300023,0.09,-0.01,0,0.09,0.00
2350023,0.00,0.00,0,0.09,-0.00
2400023,0.00,0.00,0,0.09,0.00
2450023,0.00,0.00,0,0.09,0.00
2500023,0.09,-0.01,0,0.09,0.00
2550023,0.00,0.00,0,0.09,-0.02
2600023,0.00,0.00,0,0.09,0.01
2650023,0.00,0.00,0,0.09,0.03
2700023,0.00,0.00,0,0.09,0.08
2750023,0.00,0.00,0,0.07,0.41
2800023,0.00,0.00,0,0.03,1.13
2850023,0.00,0.00,0,-0.02,0.93
2900023,0.00,0.00,0,-0.04,-0.05
2950023,0.00,0.00,0,-0.03,-0.20
3000023,0.00,0.00,0,-0.03,0.07
3050023,0.09,-0.01,0,-0.05,0.69
3100023,-0.17,0.02,0,-0.07,0.51
3150023,0.00,0.00,0,-0.09,0.38
3200023,0.00,0.00,0,-0.09,-0.02
3250023,0.00,0.00,0,-0.09,-0.06
3300023,0.00,0.00,0,-0.09,0.08
3350023,0.00,0.00,0,-0.09,0.07
3400023,0.00,0.00,0,-0.09,-0.34
3450023,0.00,0.00,0,-0.06,-0.32
3500023,0.00,0.00,0,-0.08,0.44
3550023,0.00,0.00,0,-0.10,0.45
3600023,0.00,0.00,0,-0.11,0.07
3650023,0.00,0.00,0,-0.09,-0.55
3700023,0.00,0.00,0,-0.06,-0.68
