Serial initialized!
Starting new process at wheel ref = 0
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 0
B_U1: 1
B_E0: 0.09
B_E1: -0.02
Sample Rate [ms]: 50
Step Time [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
24,0.00,0.00,0,0.19,-0.00
50025,0.00,0.00,0,0.19,0.02
100027,0.00,0.00,0,0.19,-0.01
150028,0.00,0.00,0,0.19,0.02
200030,0.00,0.00,0,0.19,-0.01
250033,0.00,0.00,0,0.19,0.01
300036,0.00,0.00,0,0.19,-0.02
350036,0.00,0.00,0,0.19,-0.00
400039,0.00,0.00,0,0.19,-0.01
450042,0.00,0.00,0,0.19,-0.00
500045,0.00,0.00,0,0.19,0.00
550046,0.00,0.00,0,0.19,-0.00
600049,0.00,0.00,0,0.19,0.00
650051,0.00,0.00,0,0.19,0.01
700052,0.00,0.00,0,0.19,0.02
750055,0.00,0.00,0,0.19,-0.01
800055,0.00,0.00,0,0.19,0.02
850055,0.00,0.00,0,0.19,-0.00
900058,0.00,0.00,0,0.19,-0.00
950058,0.00,0.00,0,0.19,0.01
1000060,0.00,0.00,0,0.19,-0.01
1050062,0.00,0.00,0,0.19,0.01
1100062,0.00,0.00,0,0.19,-0.01
1150064,0.00,0.00,0,0.19,0.01
1200066,0.00,0.00,0,0.19,-0.00
1250069,0.00,0.00,0,0.19,0.01
1300072,0.00,0.00,0,0.19,-0.00
1350075,0.00,0.00,0,0.19,0.00
1400075,0.00,0.00,0,0.19,-0.00
1450076,0.00,0.00,0,0.19,0.01
1500078,0.00,0.00,0,0.19,0.00
1550078,0.00,0.00,0,0.19,0.00
1600081,0.00,0.00,0,0.19,0.00
1650081,0.00,0.00,0,0.19,0.00
1700081,0.00,0.00,0,0.19,-0.01
1750083,0.00,0.00,0,0.19,-0.00
1800083,0.00,0.00,0,0.19,-0.00
1850084,0.00,0.00,0,0.19,0.00
1900087,0.00,0.00,0,0.19,-0.00
1950089,0.00,0.00,0,0.19,0.00
2000090,0.00,0.00,0,0.19,-0.00
2050092,0.00,0.00,0,0.19,-0.00
2100093,0.00,0.00,0,0.19,0.00
2150094,0.00,0.00,0,0.19,-0.00
2200096,0.00,0.00,0,0.19,-0.01
2250096,0.00,0.00,0,0.19,-0.00
2300099,0.00,0.00,0,0.19,0.00
2350101,0.00,0.00,0,0.19,-0.01
2400105,0.00,0.00,0,0.19,-0.00
2450105,0.00,0.00,0,0.19,0.00
2500105,0.00,0.00,0,0.19,0.00
2550108,0.00,0.00,0,0.19,-0.00
2600110,0.00,0.00,0,0.19,0.00
2650113,0.00,0.00,0,0.19,-0.01
2700117,0.00,0.00,0,0.19,0.01
2750119,0.00,0.00,0,0.19,-0.00
2800120,0.00,0.00,0,0.19,0.02
2850120,0.00,0.00,0,0.19,0.02
2900121,0.00,0.00,0,0.18,0.02
2950124,0.00,0.00,0,0.18,0.01
3000125,0.00,0.00,0,0.18,0.01
3050127,0.00,0.00,0,0.18,0.01
3100128,0.00,0.00,0,0.18,0.01
3150131,0.00,0.00,0,0.18,0.01
3200134,0.00,0.00,0,0.18,-0.00
3250136,0.00,0.00,0,0.18,0.01
3300140,0.00,0.00,0,0.18,0.00
3350143,0.00,0.00,0,0.18,0.01
3400143,0.00,0.00,0,0.18,0.00
3450143,0.00,0.00,0,0.18,-0.00
3500144,0.00,0.00,0,0.18,0.01
3550146,0.00,0.00,0,0.18,-0.00
3600147,0.00,0.00,0,0.18,0.01
3650149,0.00,0.00,0,0.18,-0.01
3700150,0.00,0.00,0,0.18,-0.00
3750153,0.00,0.00,0,0.18,-0.00
3800154,0.00,0.00,0,0.18,0.00
3850158,0.00,0.00,0,0.18,-0.01
3900159,0.00,0.00,0,0.18,0.00
3950161,0.00,0.00,0,0.18,-0.00
4000161,0.00,0.00,0,0.18,-0.00
4050162,0.00,0.00,0,0.18,0.01
4100162,0.00,0.00,0,0.18,-0.01
4150164,0.00,0.00,0,0.18,0.00
4200166,0.00,0.00,0,0.18,-0.00
4250168,0.00,0.00,0,0.18,0.00
4300171,0.00,0.00,0,0.18,-0.00
4350174,0.00,0.00,0,0.18,0.00
4400176,0.00,0.00,0,0.18,0.00
4450180,0.00,0.00,0,0.18,0.00
4500183,0.00,0.00,0,0.18,0.00
4550186,0.00,0.00,0,0.18,0.00
4600186,0.00,0.00,0,0.18,0.00
4650188,0.00,0.00,0,0.18,0.00
4700191,0.00,0.00,0,0.18,-0.00
4750191,0.00,0.00,0,0.18,0.00
4800192,0.00,0.00,0,0.18,0.00
4850192,0.00,0.00,0,0.18,-0.01
4900194,0.00,0.00,0,0.18,0.00
4950194,0.00,0.00,0,0.18,-0.00
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Enter a new Wheel Ref: Starting new process at wheel ref = 10
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 10
B_U1: 1
B_E0: 0.09
B_E1: -0.02
Sample Rate [ms]: 50
Step Time [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
24,0.00,0.00,0,0.18,0.00
50024,0.00,0.00,0,0.18,-0.01
100025,0.00,0.00,0,0.18,0.02
150025,0.00,0.00,0,0.18,-0.01
200025,0.00,0.00,0,0.18,0.01
250028,0.00,0.00,0,0.18,0.00
300030,0.00,0.00,0,0.18,0.00
350033,0.00,0.00,0,0.18,-0.00
400034,0.00,0.00,0,0.18,0.00
450036,0.00,0.00,0,0.18,0.00
500036,0.00,0.00,0,0.18,-0.00
550037,0.00,0.00,0,0.18,0.01
600040,0.00,0.00,0,0.18,-0.01
650040,0.00,0.00,0,0.18,0.00
700040,0.00,0.00,0,0.18,-0.00
750044,0.00,0.00,0,0.18,0.00
800048,0.00,0.00,0,0.18,-0.00
850049,0.00,0.00,0,0.18,-0.00
900049,0.00,0.00,0,0.18,0.00
950051,0.00,0.00,0,0.18,-0.01
1000051,0.00,0.91,23,0.18,0.00
1050051,4.71,1.21,31,0.18,0.05
1100051,12.74,0.86,22,0.18,-0.02
1150051,14.75,0.48,12,0.18,-0.03
1200051,11.26,0.45,11,0.18,-0.02
1250054,7.42,0.71,18,0.18,0.01
1300055,7.85,0.86,22,0.18,0.00
1350057,10.65,0.76,19,0.18,-0.00
1400058,11.52,0.63,16,0.18,-0.01
1450058,10.56,0.61,15,0.18,0.00
1500062,9.51,0.67,17,0.18,0.00
1550066,9.34,0.72,18,0.18,0.00
1600067,10.04,0.70,18,0.18,0.00
1650071,10.47,0.66,17,0.18,-0.00
1700074,10.30,0.64,16,0.18,0.00
1750074,9.95,0.65,17,0.18,-0.01
1800075,9.60,0.69,17,0.18,0.00
1850075,9.60,0.72,18,0.18,-0.01
1900075,10.12,0.70,18,0.18,0.01
1950078,10.12,0.69,17,0.18,-0.02
2000078,10.04,0.69,17,0.18,0.00
2050080,9.95,0.69,18,0.18,-0.00
2100084,9.95,0.70,18,0.18,-0.00
2150085,10.30,0.67,17,0.18,0.01
2200085,10.30,0.65,16,0.18,-0.00
2250087,9.86,0.67,17,0.18,0.00
2300087,9.77,0.68,17,0.18,0.01
2350090,9.95,0.68,17,0.18,0.00
2400092,9.95,0.69,17,0.18,-0.01
2450094,9.86,0.70,18,0.18,-0.00
2500094,9.86,0.71,18,0.18,-0.00
2550098,10.03,0.70,18,0.18,0.01
2600100,10.47,0.66,17,0.18,-0.00
2650103,10.04,0.67,17,0.18,-0.01
2700105,9.77,0.69,17,0.18,0.01
2750105,9.95,0.69,17,0.18,-0.01
2800108,9.95,0.69,18,0.18,-0.00
2850108,10.21,0.67,17,0.18,0.00
2900111,10.21,0.66,17,0.18,-0.01
2950114,10.04,0.66,17,0.18,0.00
3000114,10.04,0.66,17,0.18,0.00
3050114,9.86,0.67,17,0.18,-0.01
3100115,9.69,0.69,18,0.18,0.00
3150118,10.12,0.68,17,0.18,0.00
3200122,9.95,0.68,17,0.18,-0.01
3250122,9.69,0.71,18,0.18,0.01
3300124,10.04,0.70,18,0.18,0.01
3350126,10.21,0.69,17,0.18,-0.01
3400129,10.12,0.68,17,0.18,0.01
3450130,10.04,0.68,17,0.18,0.00
3500134,9.95,0.68,17,0.18,-0.00
3550134,9.95,0.69,17,0.18,0.01
3600136,10.04,0.68,17,0.18,-0.01
3650139,9.86,0.70,18,0.18,0.00
3700140,10.12,0.68,17,0.18,0.00
3750141,9.95,0.69,17,0.18,-0.01
3800144,9.60,0.72,18,0.18,0.00
3850147,10.12,0.71,18,0.18,0.00
3900147,10.12,0.70,18,0.18,-0.02
3950148,10.30,0.67,17,0.18,0.00
4000149,10.21,0.00,0,0.18,-0.00
4050149,6.11,0.00,0,0.18,-0.05
4100152,0.79,0.00,0,0.18,0.02
4150153,-0.09,0.00,0,0.18,0.03
4200153,0.00,0.00,0,0.18,-0.02
4250156,0.00,0.00,0,0.18,0.02
4300156,0.00,0.00,0,0.18,-0.01
4350156,0.00,0.00,0,0.18,-0.00
4400159,0.00,0.00,0,0.18,0.01
4450161,0.00,0.00,0,0.18,-0.01
4500161,0.00,0.00,0,0.18,0.00
4550162,0.00,0.00,0,0.18,0.00
4600165,0.00,0.00,0,0.18,0.00
4650165,0.00,0.00,0,0.18,0.00
4700168,0.00,0.00,0,0.18,0.02
4750168,0.00,0.00,0,0.18,-0.00
4800170,0.00,0.00,0,0.18,-0.01
4850171,0.00,0.00,0,0.18,0.00
4900173,0.00,0.00,0,0.18,-0.00
4950174,0.00,0.00,0,0.18,0.01
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Enter a new Wheel Ref: Starting new process at wheel ref = 20
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 20
B_U1: 1
B_E0: 0.09
B_E1: -0.02
Sample Rate [ms]: 50
Step Time [ms]: 1000
Run Time [ms]: 3000
