Serial initialized!
Starting new process at wheel ref = 0
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 0
B_U1: 1
B_E0: 0.17870000
B_E1: -0.08935000
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
23,0.00,0.00,0,0.20,-0.01
50027,0.00,0.00,0,0.20,-0.00
100028,0.00,0.00,0,0.20,0.02
150030,0.00,0.00,0,0.20,-0.01
200033,0.00,0.00,0,0.20,-0.01
250035,0.00,0.00,0,0.20,-0.01
300037,0.00,0.00,0,0.20,-0.02
350040,0.00,0.00,0,0.20,0.01
400042,0.00,0.00,0,0.20,-0.01
450045,0.00,0.00,0,0.20,-0.01
500047,0.00,0.00,0,0.20,0.02
550050,0.00,0.00,0,0.20,-0.00
600050,0.00,0.00,0,0.21,-0.02
650051,0.00,0.00,0,0.21,-0.04
700054,0.00,0.00,0,0.21,0.07
750054,0.00,0.00,0,0.20,-0.05
800054,0.00,0.00,0,0.21,-0.01
850056,0.00,0.00,0,0.21,-0.02
900057,0.00,0.00,0,0.21,-0.01
950059,0.00,0.00,0,0.21,0.01
1000059,0.00,0.00,0,0.21,-0.06
1050061,0.00,0.00,0,0.21,-0.14
1100064,0.00,0.00,0,0.22,-0.04
1150066,0.00,0.00,0,0.22,0.06
1200066,0.00,0.00,0,0.22,0.00
1250066,0.00,0.00,0,0.22,-0.01
1300068,0.00,0.00,0,0.22,0.04
1350068,0.00,0.00,0,0.21,-0.01
1400068,0.00,0.00,0,0.22,-0.01
1450068,0.00,0.00,0,0.22,0.00
1500068,0.00,0.00,0,0.21,0.04
1550070,0.00,0.00,0,0.22,-0.07
1600073,0.00,0.00,0,0.22,-0.00
1650075,0.00,0.00,0,0.22,0.01
1700077,0.00,0.00,0,0.22,-0.02
1750077,0.00,0.00,0,0.22,0.01
1800080,0.00,0.00,0,0.22,-0.02
1850081,0.00,0.00,0,0.22,0.02
1900084,0.00,0.00,0,0.22,0.02
1950087,0.00,0.00,0,0.22,-0.04
2000089,0.00,0.00,0,0.22,0.02
2050089,0.00,0.00,0,0.22,0.02
2100092,0.00,0.00,0,0.22,-0.01
2150093,0.00,0.00,0,0.22,0.01
2200095,0.00,0.00,0,0.22,-0.02
2250097,0.00,0.00,0,0.22,0.02
2300098,0.00,0.00,0,0.22,-0.02
2350101,0.00,0.00,0,0.22,-0.02
2400103,0.00,0.00,0,0.22,0.04
2450103,0.00,0.00,0,0.22,-0.00
2500105,0.00,0.00,0,0.22,-0.01
2550108,0.00,0.00,0,0.22,0.02
2600110,0.00,0.00,0,0.22,-0.00
2650112,0.00,0.00,0,0.22,-0.03
2700114,0.00,0.00,0,0.22,-0.02
2750114,0.00,0.00,0,0.22,0.02
2800114,0.00,0.00,0,0.22,0.02
2850114,0.00,0.00,0,0.22,-0.01
2900114,0.00,0.00,0,0.22,0.02
2950114,0.00,0.00,0,0.22,-0.03
3000114,0.00,0.00,0,0.22,0.00
3050114,0.00,0.00,0,0.22,0.02
3100117,0.00,0.00,0,0.22,-0.01
3150120,0.00,0.00,0,0.22,-0.02
3200120,0.00,0.00,0,0.22,0.02
3250122,0.00,0.00,0,0.22,-0.02
3300123,0.00,0.00,0,0.22,0.01
3350124,0.00,0.00,0,0.22,-0.03
3400126,0.00,0.00,0,0.22,-0.00
3450127,0.00,0.00,0,0.22,0.03
3500127,0.00,0.00,0,0.22,-0.04
3550129,0.00,0.00,0,0.22,0.01
3600131,0.00,0.00,0,0.22,-0.04
3650133,0.00,0.00,0,0.22,0.01
3700133,0.00,0.00,0,0.22,-0.01
3750133,0.00,0.00,0,0.22,-0.01
3800133,0.00,0.00,0,0.22,0.01
3850135,0.00,0.00,0,0.22,-0.01
3900135,0.00,0.00,0,0.22,-0.03
3950136,0.00,0.00,0,0.22,-0.02
4000139,0.00,0.00,0,0.23,-0.05
4050139,0.00,0.00,0,0.23,0.01
4100143,0.00,0.00,0,0.23,0.01
4150143,0.00,0.00,0,0.22,0.01
4200146,0.00,0.00,0,0.22,0.02
4250150,0.00,0.00,0,0.22,0.03
4300151,0.00,0.00,0,0.22,0.01
4350151,0.00,0.00,0,0.22,-0.01
4400152,0.00,0.00,0,0.22,-0.01
4450153,0.00,0.00,0,0.22,0.04
4500153,0.00,0.00,0,0.22,-0.00
4550154,0.00,0.00,0,0.22,0.00
4600154,0.00,0.00,0,0.22,-0.01
4650155,0.00,0.00,0,0.22,0.00
4700158,0.00,0.00,0,0.22,0.02
4750159,0.00,0.00,0,0.22,-0.01
4800160,0.00,0.00,0,0.22,0.00
4850161,0.00,0.00,0,0.22,-0.01
4900164,0.00,0.00,0,0.22,0.01
4950165,0.00,0.00,0,0.22,0.00
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Enter a new Wheel Ref (keep under 7.5s to match sim max current of 15A): Starting new process at wheel ref = 1
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 1
B_U1: 1
B_E0: 0.17870000
B_E1: -0.08935000
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
24,0.00,0.00,0,0.23,-0.05
50025,0.00,0.00,0,0.23,-0.01
100027,0.00,0.00,0,0.23,-0.02
150030,0.00,0.00,0,0.23,-0.01
200031,0.00,0.00,0,0.23,-0.01
250032,0.00,0.00,0,0.23,0.00
300035,0.00,0.00,0,0.23,0.01
350038,0.00,0.00,0,0.23,0.01
400041,0.00,0.00,0,0.23,0.01
450042,0.00,0.00,0,0.23,0.00
500042,0.00,0.00,0,0.23,-0.01
550042,0.00,0.00,0,0.23,0.02
600045,0.00,0.00,0,0.23,-0.02
650048,0.00,0.00,0,0.23,0.01
700051,0.00,0.00,0,0.23,-0.01
750053,0.00,0.00,0,0.23,0.01
800056,0.00,0.00,0,0.23,0.00
850059,0.00,0.00,0,0.23,-0.01
900062,0.00,0.00,0,0.23,0.02
950063,0.00,0.00,0,0.23,-0.01
1000066,0.00,0.18,4,0.23,0.01
1050069,0.17,0.24,6,0.23,-0.01
1100069,0.70,0.22,5,0.23,-0.01
1150070,1.05,0.18,4,0.23,-0.01
1200073,0.35,0.30,7,0.23,0.03
1250075,0.09,0.41,10,0.23,-0.02
1300077,0.96,0.33,8,0.23,0.00
1350077,2.27,0.10,2,0.23,0.02
1400079,1.40,0.14,3,0.23,0.04
1450081,0.09,0.34,8,0.23,-0.05
1500083,0.96,0.27,7,0.23,-0.01
